year_month,fiscal_year,variable_name,n,min_reported,max_reported,table_date,file_date
2022_10,2023,bond_set_by_ice,1582,1582,1584,2023-10-03,2023-11-08
2022_11,2023,bond_set_by_ice,1429,1429,1433,2023-10-03,2023-11-08
2022_12,2023,bond_set_by_ice,1047,1047,1047,2023-10-03,2023-11-08
2023_01,2023,bond_set_by_ice,481,481,481,2023-10-03,2023-11-08
2023_02,2023,bond_set_by_ice,466,466,466,2023-10-03,2023-11-08
2023_03,2023,bond_set_by_ice,1213,1213,1214,2023-10-03,2023-11-08
2023_04,2023,bond_set_by_ice,437,437,439,2023-10-03,2023-11-08
2023_05,2023,bond_set_by_ice,629,628,629,2023-10-03,2023-11-08
2023_06,2023,bond_set_by_ice,265,261,265,2023-10-03,2023-11-08
2023_07,2023,bond_set_by_ice,323,323,323,2023-10-03,2023-11-08
2023_08,2023,bond_set_by_ice,292,292,292,2023-10-03,2023-11-08
2023_09,2023,bond_set_by_ice,364,364,364,2023-10-03,2023-11-08
2023_10,2024,bond_set_by_ice,294,294,296,2024-10-03,2024-10-01
2023_11,2024,bond_set_by_ice,363,362,363,2024-10-03,2024-10-01
2023_12,2024,bond_set_by_ice,360,360,360,2024-10-03,2024-10-01
2024_01,2024,bond_set_by_ice,125,124,125,2024-10-03,2024-10-01
2024_02,2024,bond_set_by_ice,203,203,204,2024-10-03,2024-10-01
2024_03,2024,bond_set_by_ice,314,314,316,2024-10-03,2024-10-01
2024_04,2024,bond_set_by_ice,321,321,322,2024-10-03,2024-10-01
2024_05,2024,bond_set_by_ice,334,333,335,2024-10-03,2024-10-01
2024_06,2024,bond_set_by_ice,154,154,154,2024-10-03,2024-10-01
2024_07,2024,bond_set_by_ice,158,158,158,2024-10-03,2024-10-01
2024_08,2024,bond_set_by_ice,289,289,289,2024-10-03,2024-10-01
2024_09,2024,bond_set_by_ice,247,247,247,2024-10-03,2024-10-01
2024_10,2025,bond_set_by_ice,109,109,262,2025-09-20,2025-10-30
2024_11,2025,bond_set_by_ice,92,92,182,2025-09-20,2025-10-30
2024_12,2025,bond_set_by_ice,114,114,119,2025-09-20,2025-10-30
2025_01,2025,bond_set_by_ice,149,149,149,2025-09-20,2025-10-30
2025_02,2025,bond_set_by_ice,80,80,80,2025-09-20,2025-10-30
2025_03,2025,bond_set_by_ice,50,50,52,2025-09-20,2025-10-30
2025_04,2025,bond_set_by_ice,79,79,79,2025-09-20,2025-10-30
2025_05,2025,bond_set_by_ice,89,88,89,2025-09-20,2025-10-30
2025_06,2025,bond_set_by_ice,91,91,91,2025-09-20,2025-10-30
2025_07,2025,bond_set_by_ice,113,113,113,2025-09-20,2025-10-30
2025_08,2025,bond_set_by_ice,62,62,62,2025-09-20,2025-10-30
2025_09,2025,bond_set_by_ice,31,,,2025-09-20,2025-10-30
2025_10,2026,bond_set_by_ice,91,91,91,2026-02-07,2026-02-13
2025_11,2026,bond_set_by_ice,104,104,107,2026-02-07,2026-02-13
2025_12,2026,bond_set_by_ice,132,132,146,2026-02-07,2026-02-13
2026_01,2026,bond_set_by_ice,150,150,150,2026-02-07,2026-02-13
